association,rank_within_direction,ensembl_gene_id,symbol,spearman_rho,p_value,BH_FDR,RNA_direction,RNA_average_post_log2FC,RNA_average_post_FDR
Positive,22,ENSMUSG00000099906,Gm28653,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.71097877967362,0.000000000000000114034826781032
Positive,22,ENSMUSG00000108161,Gm32914,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.36295997355419,0.00000452059559023586
Positive,22,ENSMUSG00000040111,Gramd1b,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.09024364905023,0.0000000000000000259226704269567
Positive,22,ENSMUSG00000031936,Hephl1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.57853529906053,0.0000000000000162062733251344
Positive,22,ENSMUSG00000032523,Hhatl,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.38416992948537,0.0000000117916108692257
Positive,22,ENSMUSG00000038239,Hrc,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.57317629367598,0.0000000109758860103948
Positive,22,ENSMUSG00000038271,Iffo1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.07324026598378,0.0000000000000000000000667685313848434
Positive,22,ENSMUSG00000075307,Klhl41,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.29526613458071,0.0000000000000000008982011943003
Positive,22,ENSMUSG00000044086,Lmod3,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.40193812507688,0.00000000272481707047392
Positive,22,ENSMUSG00000042451,Mybph,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-3.03012933494957,0.000000000000016596060989118
Positive,22,ENSMUSG00000020908,Myh3,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-3.06096614600413,0.000000000000000000000440173916360416
Positive,22,ENSMUSG00000061816,Myl1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.32645378759824,0.000000000590827064481445
Positive,22,ENSMUSG00000044951,Mylk4,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.08316388895879,0.00000000000000000169945333809953
Positive,22,ENSMUSG00000030672,Mylpf,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.469500203783,0.00000000000000000000000000000000692552745140373
Positive,22,ENSMUSG00000031461,Myom2,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.99880347902763,0.000000000000000029564303000636
Positive,22,ENSMUSG00000037139,Myom3,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.77777207672787,0.0000000000150710636444152
Positive,22,ENSMUSG00000020067,Mypn,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.58411816297417,0.00000000244356256245338
Positive,22,ENSMUSG00000026950,Neb,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.35157171406463,0.00000000000000000000160010524179648
Positive,22,ENSMUSG00000061462,Obscn,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.16454342248755,0.0000000000000995188623525047
Positive,22,ENSMUSG00000009487,Otog,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.91809607341091,0.0000000000324230520086276
Positive,22,ENSMUSG00000026458,Ppfia4,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.20917306421721,0.000000000784781303394947
Positive,22,ENSMUSG00000030433,Sbk2,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.79049456480791,0.0000000000176119749494499
Positive,22,ENSMUSG00000034533,Scn10a,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.5284696072574,0.0000000000354107251761748
Positive,22,ENSMUSG00000001027,Scn4a,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.77688585678724,0.00000000000000000000427125772670205
Positive,22,ENSMUSG00000034810,Scn7a,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.3639958242335,0.0000000000000000137229789910679
Positive,22,ENSMUSG00000024548,Setbp1,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.0318548113354,0.00000000124732812389116
Positive,22,ENSMUSG00000035296,Sgcg,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.09323756059677,0.00000187367715724358
Positive,22,ENSMUSG00000041476,Smpx,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.5869391664245,0.00000000000000000000594346997113436
Positive,22,ENSMUSG00000022519,Srl,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.8377951664471,0.0000000000000000000000475790934044678
Positive,22,ENSMUSG00000031791,Tmem38a,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.25261821542259,0.00000000000000000000000000000000573453499637188
Positive,22,ENSMUSG00000031097,Tnni2,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.34570446380314,0.000000000000243520373918707
Positive,22,ENSMUSG00000061723,Tnnt3,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-2.38389903169149,0.000000000000000000497392295368287
Positive,22,ENSMUSG00000032010,Usp2,0.966666666666667,0.0000215503127483578,0.00279194748306962,lower,-1.0701571642778,0.00000000000000706719755275049
Positive,72,ENSMUSG00000042429,Adora1,0.966240492659655,0.0000225207156789661,0.00279194748306962,lower,-2.05303761126514,0.0000000000000821261606145559
Positive,72,ENSMUSG00000064246,Chil1,0.966240492659655,0.0000225207156789661,0.00279194748306962,lower,-1.13809702195931,0.0000351073258856883
Positive,72,ENSMUSG00000069372,Ctxn3,0.966240492659655,0.0000225207156789661,0.00279194748306962,lower,-1.89240404018575,0.00000000232389367199462
Positive,72,ENSMUSG00000087591,Gm14635,0.966240492659655,0.0000225207156789661,0.00279194748306962,lower,-2.35142042659717,0.00000000000000000203862307845367
Positive,72,ENSMUSG00000107655,Gm44220,0.966240492659655,0.0000225207156789661,0.00279194748306962,lower,-1.94327591663913,0.0000000213190949134324
Positive,72,ENSMUSG00000038670,Mybpc2,0.966240492659655,0.0000225207156789661,0.00279194748306962,lower,-3.00157516927422,0.0000000000000000846673236340041
