met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
MET524,2.78_810.6019m/z,810.6018736,2.780666667,PC027,[PC 38:4] 18:0-20:4 PC,M+H,C46H84NO8P,lower,-0.950454998979611,0.00000000234220098593813,11.6728142312476,12.9211201807235,12.8981943181116,11.0949883150764,11.4937749275344,12.2189185078496,12.1852001382325,12.4041326308674,12.4048705062412
MET491,2.68_742.5629m/z,742.5629062,2.681133333,"","","","",lower,-2.73105467277122,0.00000000370645014498231,7.21443782170116,7.77940694525785,10.8119973590194,3.34284201926612,5.19874857478351,6.97969450749489,6.71401642446349,7.55641465201996,6.15172604833489
MET671,3.34_747.6154n,748.6226758,3.343016667,"","","M+H, M+Na","",higher,1.06587871099216,0.00000000855766270768285,12.6492544082879,13.7652210638534,10.635822473788,9.29488378837308,14.458204597071,12.4648467575059,13.3287477321714,14.2929044163712,11.6444709920218
MET696,3.45_812.6795n,813.6854458,3.454466667,SM011,"24:1 SM (d18:1/24:1)
","M+H, M+Na, M+K",C47H93N2O6P,higher,0.760061611968152,0.00000000874206681201011,11.0402236453613,13.2216195546038,14.9575524330725,9.50503389838392,13.8448022123982,15.2563119827426,12.3812484384931,14.425309993784,15.0767335272801
MET498,2.70_772.5847m/z,772.5846754,2.7012,"","","","",lower,-1.0041413428979,0.0000000120470042258991,12.4313660997904,13.1232634984418,13.1339663432228,6.14536715554361,11.1784330524937,12.4638594578446,11.8890351763464,12.1511676365694,12.2407758531348
MET405,2.37_718.5392m/z,718.5392315,2.373516667,PE007,[PE 34:1] 16:0-18:1 PE,M+H,C39H76NO8P,lower,-1.97667208791355,0.0000000206792825817749,8.29242782210805,6.99575638786343,10.0941168125559,3.06819951653087,2.60692825906966,8.44897225659381,7.11322654566291,6.78527159680492,8.16619791295744
MET493,2.68_810.6008m/z,810.6007991,2.681133333,PC027,[PC 38:4] 18:0-20:4 PC,M+H,C46H84NO8P,lower,-0.869853554016821,0.00000010764213973478,12.8663293120353,12.8419309881103,12.7867369012295,10.0653579640632,10.2790524113432,12.2628938010947,12.3791258172557,11.6320785203075,12.6099761341583
MET632,3.13_754.5754m/z,754.5753915,3.13155,"","","","",higher,2.05668184158886,0.000000435063027935396,3.29511838782042,3.29511838782042,8.6623466724751,3.29511838782042,3.29511838782042,10.5282701783089,3.29511838782042,3.29511838782042,11.0587723044334
MET416,2.45_756.5554m/z,756.5554113,2.453616667,PC009,[PC 32:0] 18:0-14:0 PC,M+Na,C40H80NO8P,lower,-0.951586726709874,0.000000658563691950898,9.55388342463044,11.4518637825415,12.2547947042747,5.79792964946351,9.06422691941313,11.3680269110105,9.99322316557359,11.3564873494187,11.6274101362136
MET371,2.26_780.5566m/z,780.5566348,2.26225,PC012,[PC 34:2] 16:0-18:2 PC,M+Na,C42H80NO8P,lower,-2.93149776556624,0.000000785095559004617,7.6522036106598,6.35177215855801,10.5471932896514,9.61839284753171,2.22484282695524,7.94864447006263,9.08319232235345,4.09921196963968,9.27974885358333
MET647,3.17_770.5706m/z,770.5706338,3.171533333,PE014,[PE 36:0] 18:0 PE,M+Na,C41H82NO8P,lower,-3.24607894007236,0.00000115993222067692,2.48750577723653,4.6952729713468,11.3613673716049,2.48750577723653,2.48750577723653,7.48648834969418,3.14177565611476,3.80019413543714,4.16681302998552
MET590,2.96_822.6428m/z,822.6428394,2.960133333,"","","","",higher,1.67394710969635,0.00000181465492876675,6.90724123636867,7.98126117363217,5.70809216295606,10.551416419108,11.070558876725,8.32369524780857,9.6094069925418,9.31607212980921,7.84437400771899
MET651,3.18_785.6557m/z,785.655709,3.179566667,"","","","",higher,1.79795502551427,0.00000201683489820861,4.41048316451505,4.81923324509301,8.46864251924823,2.90249753447752,6.50557143710162,9.94562735238491,6.71958755243484,6.69767774326692,10.4100569088159
MET836,5.33_808.7785m/z,808.7785484,5.333966667,"","","","",higher,2.47180505725599,0.0000024050192671524,2.106693935796,2.106693935796,7.0672915319504,2.106693935796,2.106693935796,7.85868192435626,2.106693935796,2.106693935796,9.99429459985241
MET675,3.36_774.6383m/z,774.638339,3.355066667,"","","","",higher,1.08757084973436,0.0000043555778812431,12.0349384758858,14.1748044279006,11.6871653789074,6.22834888985782,14.4690360436198,13.4476628709164,12.6302555641151,14.7215970340721,12.7431239905103
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,0.873830196998602,1.93682550174035,6.95076334028783,0.873830196998602,1.96928254059561,9.21197408857009,1.63728900294915,3.69178896157324,9.56969739470691
MET413,2.44_743.5486n,744.5558876,2.43755,PE012,[PE 36:2] 18:1 (?9-Cis) PE,"M+H, M+Na",C41H78NO8P,lower,-2.64205421318633,0.00000608809542047871,4.33468038351348,8.8342469366764,11.2800173647021,3.87120644188806,5.07062557890588,8.17919958256186,6.69946937060412,7.12321972096062,8.92236637920932
