met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,lipid_direction,lipid_average_post_log2FC,lipid_average_post_fdr,ensembl_gene_id,symbol,RNA_direction,RNA_average_post_log2FC,RNA_average_post_fdr,n_conditions,spearman_rho,p_value_unadjusted,fdr_BH_key_feature_space,absolute_spearman_rho,direction_relationship,leave_one_out_min_rho,leave_one_out_max_rho,leave_one_out_min_absolute_rho,leave_one_out_sign_consistent
MET353,2.13_385.2743m/z,385.2743277,2.12665,"","","","",higher,1.88716781372936,0.0000220060200157857,ENSMUSG00000036570,Fxyd1,higher,1.94247090035342,0.0000000364999773895278,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET397,2.35_756.5550m/z,756.5550327,2.350233333,PC009,[PC 32:0] 18:0-14:0 PC,M+Na,C40H80NO8P,lower,-1.78000821521116,0.0000000000000344708181339647,ENSMUSG00000109167,Gm44652,higher,1.14354450731113,0.000121837501261059,9,-0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,opposite passage direction,-1,-0.976190476190476,0.976190476190476,TRUE
MET405,2.37_718.5392m/z,718.5392315,2.373516667,PE007,[PE 34:1] 16:0-18:1 PE,M+H,C39H76NO8P,lower,-1.97667208791355,0.0000000206792825817749,ENSMUSG00000030098,Grip2,lower,-1.58725302819548,0.000000437409295273732,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000017446,C1qtnf1,higher,1.15127502890988,0.00000000000000000000000000000000574889081399814,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000015968,Cacna1d,higher,1.39964908219027,0.0000215628807664794,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000033308,Dpyd,higher,1.70822518479934,0.00000000000000000002494458683557,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000029869,Ephb6,higher,1.50539417719308,0.0000000000000000000000000000000000591437075471686,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000099964,Gm29514,higher,1.41551794254631,0.000000000568446260074149,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000041695,Kcnj2,higher,1.74764594401664,0.000000000000000000000000118270957238053,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000027848,Olfml3,higher,1.38100267901313,0.000000000000000000000000000000000000000000000000000951904690320096,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
