ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
ENSMUSG00000027560,Dok5,lower,-2.27590156995429,0.000000000000426662635275517,5.42756512088072,4.79435552365361,5.37947723783438,3.99360284251631,3.89723296713376,4.25829231255411,1.64161564989862,2.32054525431719,0.642732057897515
ENSMUSG00000026110,Mgat4a,lower,-1.2654414326288,0.00000000000047213554818768,6.30200281617619,6.06545522016723,6.09132545305639,5.69304068835702,5.38794401782665,5.02392576037538,5.13631965024057,4.57907344556992,4.0094887107132
ENSMUSG00000000392,Fap,lower,-3.26708762374154,0.000000000000510211087197894,1.2138299358938,3.95975827936658,3.8385632372679,0.684067624172176,0.524548156280964,2.3322073956578,0,0,0.530532453621677
ENSMUSG00000045103,Dmd,lower,-2.29606324903389,0.000000000000520773599240592,2.27786310076346,1.44896586876694,9.62086778539861,0.841402875975554,0.322044957382002,8.14989846428904,0,0,6.66115148486897
ENSMUSG00000082229,Nap1l2,lower,-1.03882523309575,0.00000000000057846394194889,6.91152442857778,7.22168258854395,5.21266256988267,6.25215962299398,6.6173232743479,4.93275364324141,5.59624365093969,5.86503518370492,3.54070528186918
ENSMUSG00000046402,Rbp1,higher,1.07622532587869,0.00000000000058449397104407,2.7881128187414,4.85690265614725,5.98286902459993,3.83448661369003,6.16822792632469,6.47822071743808,3.12684867610518,5.77361233270247,6.92530692337438
ENSMUSG00000061132,Blnk,lower,-1.8158725552316,0.000000000000596904180300422,9.84316296448182,10.1458249713572,7.69383227407425,8.62883816888627,9.04235151988288,6.74347375238395,6.72305943842578,7.82602702601167,4.18501765388081
ENSMUSG00000027832,Ptx3,higher,2.34125044708535,0.000000000000613256511718818,2.07315078275568,0.791128175648856,1.97790129954531,3.98783856756668,1.82270993284744,3.5596967842986,5.33439877065123,5.34205638397105,5.88261065371999
ENSMUSG00000027931,Npr1,lower,-1.2370167453789,0.0000000000006232371370357,4.64466597930993,6.44900580783669,5.18322841580903,4.79981032918249,5.12674863837924,4.63031664867935,4.56464361389297,4.95531658590988,3.26429870955012
ENSMUSG00000020098,Pcbd1,lower,-2.57388804565146,0.000000000000624335401722026,3.74483729328946,4.76122778482769,5.3398874080616,2.06129800477614,3.33018879259734,3.91020284535478,1.98776559431297,1.11894723541615,1.9495869484129
ENSMUSG00000029019,Nppb,lower,-2.15236277724269,0.000000000000677333696572601,4.72873560938635,4.83188223752491,3.33529850002446,3.19921348271635,4.12127000327302,2.3322073956578,1.98776559431297,1.4496641754053,0.317510010224009
